,text,intent
57,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107</a><OriginalName v=1600596548920.JPEG></OriginalName><FileSize v=215553></FileSize><meta type=photo originalName=1600596548920.JPEG></meta></URIObject>",O
58,if i wrote a flask program.. where can i see the output?<e_m a=live:.cid.b6267eb447e04148 ts_ms=1602774084422 ts=1602774084 t=61></e_m>,need_help
59,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317 width=118 height=140>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317</a><OriginalName v=image_2020_09_18T14_31_36_537Z.png></OriginalName><FileSize v=1565></FileSize><meta type=photo originalName=image_2020_09_18T14_31_36_537Z.png></meta></URIObject>",O
60,ok,good_bye
61,Thank you sir,Thank_you
62,hello sir,Greetings
63,yes same env is there,O
64,ok sir,Thank_you
65,Thnx,welocme_reply
66,but I was just curious what was the use of that code here,code_error
67,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-cus-d3-dca8040ee453f537d2f7de40e8764534 url_thumbnail=https://api.asm.skype.com/v1/objects/0-cus-d3-dca8040ee453f537d2f7de40e8764534/views/imgt1_anim type=Picture.1 doc_id=0-cus-d3-dca8040ee453f537d2f7de40e8764534 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-cus-d3-dca8040ee453f537d2f7de40e8764534>https://login.skype.com/login/sso?go=xmmfallback?pic=0-cus-d3-dca8040ee453f537d2f7de40e8764534</a><OriginalName v=1601363724603.JPEG></OriginalName><FileSize v=30851></FileSize><meta type=photo originalName=1601363724603.JPEG></meta></URIObject>",O
68,since the beginning of the class,great
69,already done,great
70,full stack developer when will it started ??,course_details
71,okay,more_query
72,have did that also,support_ticket_generate
73,ok please let me check,sure
74,I have send it again could you please check it?,need_help
75,For this piece of code where I am trying to convert string to floatdf1[&quot;Sub_metering_1&quot;] = df1[&quot;Sub_metering_1&quot;].astype(float)I am getting this erro:,python_conversion_datatype
76,Please check,need_help
77,Got it,okay_reply
78,how to fix it ??,need_help
79,hii sir,Greetings
80,Could you please have a look at it?,need_help
81,i need some advice and guidance from you? my apologies for bothering you with these frivolous questions,need_help
82,"Hi, I have not received the dashboard for PowerBI",power-bi_tableau_dashboard
83,But i am getting a error So could you please help me to resolve this error,need_help
84,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-815f931bedb4e96c9d2c68fd116fef58 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-815f931bedb4e96c9d2c68fd116fef58/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-815f931bedb4e96c9d2c68fd116fef58 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-815f931bedb4e96c9d2c68fd116fef58>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-815f931bedb4e96c9d2c68fd116fef58</a><OriginalName v=Untitled.png></OriginalName><FileSize v=114118></FileSize><meta type=photo originalName=Untitled.png></meta></URIObject>",O
85,yes i got dashboard,okay_reply
86,Ohh sorry,good_bye
87,Am jun 6 ML/DL batch,batch_details
88,hello sir my pyspark installation is still not working,pyspark
89,it is showing invalid syntex error,code_error
90,okay thank you,good_bye
91,Hi,Greetings
92,sorry is this Sudhanshu sir?,Greetings
93,"File &quot;&lt;ipython-input-51-26854ce631bc&gt;&quot;, line 4    print scipy.stats.ttest_ind(rvs1,rvs2)              ^SyntaxError: invalid syntax",code_error
94,I have taken a dataset on Google review from the UCI...I am going to do on this sir,great
95,what is auto scaling ? i don&apos;t know,need_help
96,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8 width=2048 height=1536>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8</a><OriginalName v=1600889318206.JPEG></OriginalName><FileSize v=68629></FileSize><meta type=photo originalName=1600889318206.JPEG></meta></URIObject>",O
97,sirr what to do for mkl-random?,need_help
98,Respected sir/madam the zoom id for ml class at 3.00 PM shows expired is it okay?,class_link
99,Please fix this issue ASAP,need_help
100,Good morning,Greetings
101,sir was ping to chat box,need_help
102,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-1136ae148036bc4c71b10e8e445ba46f url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-1136ae148036bc4c71b10e8e445ba46f/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-1136ae148036bc4c71b10e8e445ba46f width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-1136ae148036bc4c71b10e8e445ba46f>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-1136ae148036bc4c71b10e8e445ba46f</a><OriginalName v=1601814183441.JPEG></OriginalName><FileSize v=55002></FileSize><meta type=photo originalName=1601814183441.JPEG></meta></URIObject>",O
103,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d4-87944ff43602b89f9e9ab2084e76499f url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d4-87944ff43602b89f9e9ab2084e76499f/views/imgt1_anim type=Picture.1 doc_id=0-sa-d4-87944ff43602b89f9e9ab2084e76499f width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-87944ff43602b89f9e9ab2084e76499f>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-87944ff43602b89f9e9ab2084e76499f</a><OriginalName v=Untitled.png></OriginalName><FileSize v=193390></FileSize><meta type=photo originalName=Untitled.png></meta></URIObject>",O
104,is Machine learning a pre-requisite?,enter_query
105,PlotlyRequestError: Authentication credentials were not provided.,PlotlyRequestError
106,is anybody there?,yes_reply
107,hi,Greetings
108,sir can we have a call now?,need_skype_call
109,Hi,Greetings
110,i want to replace non values in not rated,need_help
111,Hi,Greetings
112,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c</a><OriginalName v=1600596520292.JPEG></OriginalName><FileSize v=165667></FileSize><meta type=photo originalName=1600596520292.JPEG></meta></URIObject>",O
113,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d4-d3267215c7c2c7d5d8ef41646c54bfbd url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d4-d3267215c7c2c7d5d8ef41646c54bfbd/views/imgt1_anim type=Picture.1 doc_id=0-sa-d4-d3267215c7c2c7d5d8ef41646c54bfbd width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-d3267215c7c2c7d5d8ef41646c54bfbd>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-d3267215c7c2c7d5d8ef41646c54bfbd</a><OriginalName v=Untitled.png></OriginalName><FileSize v=180863></FileSize><meta type=photo originalName=Untitled.png></meta></URIObject>",O
114,"Just I asked sir, In my C: partition overload that only i asked",cuda_driver_install
115,Thank you so much,Thank_you
116,"error are coming while apply changes at power Bi desktop , after close and apply mentioned but it is not able to show at power bi desktop",powerbi_query
117,ok,good_bye
118,is it available in you tube?,youtube_video_availability
119,<MediaAlbum albumId=3564f4ac-d127-48ea-9297-618dbfdcb335></MediaAlbum>,O
120,I will restart the system and reinstall again.,sure
121,in seaborn I know a function called as pallete to do this coloring,seaborn
122,Got Timeout 3 seconds error,support_ticket_generate
123,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-c914927a385225990cb76ad0f5f7bbb7 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-c914927a385225990cb76ad0f5f7bbb7/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-c914927a385225990cb76ad0f5f7bbb7 width=597 height=158>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-c914927a385225990cb76ad0f5f7bbb7>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-c914927a385225990cb76ad0f5f7bbb7</a><OriginalName v=image_2020_09_24T19_12_26_653Z.png></OriginalName><FileSize v=14002></FileSize><meta type=photo originalName=image_2020_09_24T19_12_26_653Z.png></meta></URIObject>",O
124,hi,Greetings
125,bad gateway,support_ticket_generate
126,No problem,good_bye
127,but would u happen to knw when can i get in touch with sudhanshu sir through this mode of comm,need_help
128,Alright,more_query
129,so they are asking professional email id,need_help
130,can you please tell me how to opt-out from this internship?,internship_query
131,hi,Greetings
132,sir i used 12345 this password,need_help
133,Sir by using forward fill how I increase the value by 10,need_help
134,how does it solve ??,need_help
135,sorry.. i understood output matrix.. and tried that .. i need second question explanation,need_help
136,sir in pyspark after instaalling java what process i have to do,pyspark
137,i asked yesterday till now you are not answering,sorry
138,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-ca964f6c11abcf5f710956ca1ba7c138 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-ca964f6c11abcf5f710956ca1ba7c138/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-ca964f6c11abcf5f710956ca1ba7c138 width=1152.4501758499414 height=2048>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-ca964f6c11abcf5f710956ca1ba7c138>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-ca964f6c11abcf5f710956ca1ba7c138</a><OriginalName v=1600255538377.JPEG></OriginalName><FileSize v=37518></FileSize><meta type=photo originalName=1600255538377.JPEG></meta></URIObject>",O
139,"Applying remove blank rows I am still getting null values, what could be issue here?",support_ticket_generate
140,How will it solve ???,need_help
141,"If you didn&apos;t understand my problem let me know, I send pics",O
142,One doubt from last class (Power BI).It was well explained about to delete the rows having null/blank value.But how will we be able to delete the rows having values as missing/NA/ NaaN etc. We know that these values are not necessary but how to handle these rows in power bi?,need_help
143,its not working properly,need_help
144,"Hello good afternoon,  I&apos;m Avinash student of june 6 ML batch i have applied for internship that is going to start from November",internship_query
145,"Hii, I am Vishnu Derkar and I have the form for internship on 27 Aug but couldn&#39;t find my name in the list.",internship_query
146,ya i watched 1-2 more video then got clarified.  thank you so much,welocme_reply
147,<partlist type=ended alt= callId=6bda5ecb-9a00-40e8-b188-c5b619c5cfb7><part identity=live:yash20december><name>yash agrawal</name><duration>726.662</duration></part><part identity=live:.cid.4933a22bf564744><name>support@ineuron.ai</name><duration>726.662</duration></part></partlist>,O
148,<MediaAlbum albumId=4a855875-6f26-45fa-9773-6308e3a1a086></MediaAlbum>,O
149,Ok sir,good_bye
150,So what should I do?,need_help
151,ok,Thank_you
152,no not a dashboard data set,O
153,"hello sir, i m implementing the linear regression till cloud app .in this app i couldnt install mkt-fft,mkt-random and scikit learn  .so i want to know how can i install them and should i install them in pycharm or in anaconda. which will be better",python_requirements_install
154,Hi,Greetings
155,kindly grant me dashboard access for dl course,Dashboard_access
156,"q Write a Python Program(with class concepts) to find the area of the triangle using the below formula. area = (s(s-a)(s-b)(s-c)) * 0.5 Function to take the length of the sides of triangle from user should be defined in the parent class and function to calculate the area should be defined in subclass.class Triangle:        def takeInput():        a=int(input(&quot;Enter the first side: &quot;))        b=int(input(&quot;Enter the second side: &quot;))        c=int(input(&quot;Enter the third side: &quot;))        return a,b,c        class AreaTriangle(Triangle):         def areaTriangle(a,b,c):        s=(a+b+c)/2        area = (s*(s-a)*(s-b)*(s-c)) ** 0.5        print(&quot;The area of triangle is:&quot;,area)                obj=AreaTriangleres=obj.takeInput()obj.areaTriangle(res[0],res[1],res[2])",support_ticket_generate
157,hi,Greetings
158,Hello sir is there any one?,Greetings
159,Thanks,welocme_reply
160,"DLCVNLP 25TH JULY , 3rd oct classes file are not there which used in pycharm ??",dashboard_file_error
161,plz put your input on the file i created,need_help
162,can you please give me some references from where i can learn about these techniques ?,need_help
163,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-a5efdca6df773da4d24f4dc6f7b24965 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-a5efdca6df773da4d24f4dc6f7b24965/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-a5efdca6df773da4d24f4dc6f7b24965 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-a5efdca6df773da4d24f4dc6f7b24965>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-a5efdca6df773da4d24f4dc6f7b24965</a><OriginalName v=Screenshot (29).png></OriginalName><FileSize v=140114></FileSize><meta type=photo originalName=Screenshot (29).png></meta></URIObject>",O
164,let me know the solution,sure
165,ok so does google colab allows you to work in DL and RL with higher configuration instead of purchasing a new laptop?,colab_help
166,It worked,great
167,sir i&apos;m from MLD batch 6th June,batch_details
168,hi,Greetings
169,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-c63a7813ea0a4f100bf918dfc5201572 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-c63a7813ea0a4f100bf918dfc5201572/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-c63a7813ea0a4f100bf918dfc5201572 width=1064 height=781>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-c63a7813ea0a4f100bf918dfc5201572>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-c63a7813ea0a4f100bf918dfc5201572</a><OriginalName v=temp.PNG></OriginalName><FileSize v=50743></FileSize><meta type=photo originalName=temp.PNG></meta></URIObject>",O
170,"Hie Ian unable to access powerBI &amp; tablue access ,I have registered 2 days ago,",power-bi_tableau_dashboard
171,I am trying to deploy cnn dog cat classifier Everything is working find but when i am entring my url address which i got from heroku so its showing a error which a shared in first pic,heroku_deployment
172,sir can u provide me data set of python practice 1,assignment_python
173,still the same result in both the cases,need_help
174,My registered mail is - <a href=mailto:tsrvmhptr@gmail.com>tsrvmhptr@gmail.com</a>,user_email
175,I hope there is no issue ....if i will start submit it from page hierarchy?,yes_reply
176,Sir Please check it and tell me whether I can send the NDA now ? If yes then to which mail id?,internship_query
177,Can i get the python in my dashboard please,support_ticket_generate
178,Good Afternoon Sir,Greetings
179,<partlist type=missed alt= OId=23f5fcc3-74b8-40e3-a62f-48cde9762cfb><part identity=live:.cid.5289059b89c5cf3><name>Mukunthan Ragavan</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron_ai</name></part></partlist>,O
180,hi,Greetings
181,So basic python will be taught in live classes,community_class
182,yes,Thank_you
183,Great. Thanks boss.,okay_reply
184,good work sir,Thank_you
185,it is present just checked,need_help
186,what will happen if we include that column here and what will happen if we don&apos;t include that?,code_error
187,sir I got the answer...it is ok I got it how to solve,Thank_you
188,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-1926dbbc6fde0f0e9c9e8b5df153ebaf url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-1926dbbc6fde0f0e9c9e8b5df153ebaf/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-1926dbbc6fde0f0e9c9e8b5df153ebaf width=619 height=589>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-1926dbbc6fde0f0e9c9e8b5df153ebaf>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-1926dbbc6fde0f0e9c9e8b5df153ebaf</a><OriginalName v=image_2020_09_16T20_16_25_186Z.png></OriginalName><FileSize v=30812></FileSize><meta type=photo originalName=image_2020_09_16T20_16_25_186Z.png></meta></URIObject>",O
189,k,good_bye
190,thanks a lot,Thank_you
191,"I already had Pycharm, and VS Code in my PC.Do I need to install Anaconda Distribution?",yes_reply
192,"But when I write the command mentioned in the screenshot, the command greys out",code_error
193,but there is some filter getting applied,code_error
194,sure thank u,Thank_you
195,Hi Sir.. Good Morning,Greetings
196,Hello this is Shashidhar,Greetings
197,"it is solve , its working fine",great
198,Thanks,welocme_reply
199,Okay,good_bye
200,Can you create dashboard for PowerBI and Tableau for me,power-bi_tableau_dashboard
201,I have registered already. Ok any ways I will wait for the dash board access,sure
202,"Again I uninstall everything and reinstalling the MySQL application, but still it is struck there only.",mysql_installation
203,I want to deploy my app through GCP. but I got an error in the last step. And Virat told that we should edit that path variable to bin so that it will work .,gcp_deployment
204,<a href=https://drive.google.com/file/d/1U-X-NZ2vQw5aypSuKBmHfwENITQSGBO9/view>https://drive.google.com/file/d/1U-X-NZ2vQw5aypSuKBmHfwENITQSGBO9/view</a>,support_ticket_generate
205,yup,okay_reply
206,To which one,O
207,okay,good_bye
208,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-f44ab7f127252258bd57005144f9fc2a url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-f44ab7f127252258bd57005144f9fc2a/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-f44ab7f127252258bd57005144f9fc2a width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-f44ab7f127252258bd57005144f9fc2a>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-f44ab7f127252258bd57005144f9fc2a</a><OriginalName v=1601128918143.JPEG></OriginalName><FileSize v=205916></FileSize><meta type=photo originalName=1601128918143.JPEG></meta></URIObject>",O
209,hi,Greetings
210,Sure..give me a second,sure
211,when will the enroll Machine Learning and Deep Learning with Deployment end?,need_help
212,Yes sir,Thank_you
213,I can&apos;t ask doubts there,need_help
214,Sir I have imported it successfully but it is still showing this,need_help
215,i should install mongodb community edition,mongodb_installation
216,Thanks,welocme_reply
217,datetime not able to change datatype,need_help
218,"So, withour Anaconda I need to install every thing on my own. Anaconda is a distribution of all libraries used in data science",support_ticket_generate
219,hi,Greetings
220,sir I was just revising again with ur previous video recordings,great
221,hi,Greetings
222,data is titanic,O
223,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-4a65d35d80db6a010b5a2d4018342d62 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-4a65d35d80db6a010b5a2d4018342d62/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-4a65d35d80db6a010b5a2d4018342d62 width=1343 height=748>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-4a65d35d80db6a010b5a2d4018342d62>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-4a65d35d80db6a010b5a2d4018342d62</a><OriginalName v=Final Dashbaord Image.png></OriginalName><FileSize v=79172></FileSize><meta type=photo originalName=Final Dashbaord Image.png></meta></URIObject>",O
224,okay .. can i call you now?,need_skype_call
225,Okay thankyou..!,welocme_reply
226,testing the message...plz ingnore,ignore
227,pivotal and heroku both,deployment
228,can i understand a batch which you started 25th july deeplearningwith advance NLP  ??,batch_details
229,I was facing this issue in zoom video call yesterday,need_help
230,thanks,more_query
231,I&apos;m not getting what is wrong with below syntax,need_help
232,"def gen<ss type=no>(n)</ss>:    for i in range(0,n):        for j in range(0,i+1):             print(&quot;*&quot;,end=&quot;&quot;)        print(&quot;\r&quot;)        for p in range(n,n-1):             for k in range(0,p-1):                print(&quot;*&quot;,end=&quot;&quot;)                print( &quot;*&quot;,end=&quot;&quot;)",code_error
233,"Hello sir, is there anyone?",Greetings
234,see the error please sujest onit,need_help
235,iplot is not working..,need_help
236,previous chatt just check that one,need_help
237,"class all_sentences():    passtry:    subjects=[&quot;Americans &quot;,&quot;Indians&quot;]     verbs=[&quot;play&quot;,&quot;watch&quot;]     objects=[&quot;Baseball&quot;,&quot;Cricket&quot;]    sentences=[(sub +&quot; &quot;+ ver +&quot; &quot; + obj) for sub in Subjects for ver in Verbs for obj in Objects]    except:    print(&apos;the required statement can not be performed&apos;)print(all_sentences())",code_error
238,I check the connection,need_help
239,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d8-8f378dfdf7e5569127e0bf5c868935e2 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d8-8f378dfdf7e5569127e0bf5c868935e2/views/imgt1_anim type=Picture.1 doc_id=0-sa-d8-8f378dfdf7e5569127e0bf5c868935e2 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d8-8f378dfdf7e5569127e0bf5c868935e2>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d8-8f378dfdf7e5569127e0bf5c868935e2</a><OriginalName v=Screenshot (48).png></OriginalName><FileSize v=149169></FileSize><meta type=photo originalName=Screenshot (48).png></meta></URIObject>",O
240,seen the above thread its the same procedure i followed,need_help
241,Yes sure sir,Thank_you
